City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
370,Sept-Iles,CA,62.06,broken clouds,50.2001,-66.3821,Comfort Inn
372,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
374,Naze,JP,72.23,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
375,Gainsborough,GB,65.71,clear sky,53.3833,-0.7667,Hickman Hill Hotel
376,Aguimes,ES,68.67,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
377,Moron,AR,69.03,light rain,-34.6534,-58.6198,Hotel Morón
378,Cserkeszolo,HU,68.29,few clouds,46.8632,20.187,Touring Hotel
379,Mubi,NG,77.36,broken clouds,10.2676,13.2644,Hotel
383,Kalmunai,LK,79.81,overcast clouds,7.4167,81.8167,VS Villa
386,Hearst,CA,68.81,overcast clouds,49.6835,-83.6665,Companion
388,Ciro Marina,IT,70.54,few clouds,39.3732,17.126,Hotel Miramare
391,Oia,PT,62.13,scattered clouds,40.5426,-8.5386,Hotel Estalagem da Pateira
392,Praia Da Vitoria,PT,67.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
394,Nouadhibou,MR,68.65,clear sky,20.931,-17.0347,El Medina
399,Camacha,PT,63.82,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
401,Yabelo,ET,60.53,broken clouds,4.8833,38.0833,Asnakech W/michael
405,Komarno,SK,70.09,broken clouds,47.7636,18.1226,Hotel Bow Garden
408,Schleswig,DE,65.95,scattered clouds,54.5167,9.55,Hotel Hohenzollern
409,Bako,ET,64.87,few clouds,5.7833,36.5667,Goh Hotel
411,Soyo,AO,77.67,overcast clouds,-6.1349,12.3689,Hotel Mpampa
414,Katsuura,JP,70.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
416,Paita,PE,74.53,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
419,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
422,Ngora,UG,65.17,light rain,1.4314,33.7772,Traveler's rest guest house
425,Katobu,ID,75.15,overcast clouds,-4.9408,122.5276,La Ode Husein
426,Xai-Xai,MZ,64.36,light rain,-25.0519,33.6442,Complexo da Familia
427,Teruel,ES,63.88,scattered clouds,40.6667,-0.6667,La Parra
429,Bollnas,SE,65.12,clear sky,61.3482,16.3946,Grand Hotel
432,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
433,Hobyo,SO,78.89,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
434,Quatre Cocos,MU,72.09,moderate rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
435,Cherskiy,RU,62.06,overcast clouds,68.75,161.3,Gostinitsa
436,Mareeba,AU,61.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
439,Port-Gentil,GA,79.39,broken clouds,-0.7193,8.7815,Fengshui Residence
442,Noumea,NC,70.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
444,Isoka,ZM,61.48,scattered clouds,-10.1606,32.6335,Location Compound
448,Odweyne,SO,78.01,broken clouds,9.4092,45.064,Eng Hiirey House
