City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,Huarmey,-10.0681,-78.1522,66.11,90,43,4.5,PE,2021-05-26 01:49:37
166,Maine-Soroa,13.2114,12.0241,85.75,9,76,6.87,NE,2021-05-26 01:49:38
167,Gat,31.61,34.7642,77.4,61,0,2.08,IL,2021-05-26 01:49:16
168,Chokurdakh,70.6333,147.9167,39.02,79,99,8.1,RU,2021-05-26 01:49:38
169,Iralaya,15.0,-83.2333,80.53,84,100,14.43,HN,2021-05-26 01:49:38
170,Anupgarh,29.1911,73.2086,93.85,20,0,4.79,IN,2021-05-26 01:49:39
171,Anshun,26.25,105.9333,66.54,90,100,7.7,CN,2021-05-26 01:47:34
172,Cayenne,4.9333,-52.3333,80.1,89,75,1.99,GF,2021-05-26 01:49:39
173,Nchelenge,-9.3451,28.734,58.84,71,0,6.22,ZM,2021-05-26 01:49:39
174,Walvis Bay,-22.9575,14.5053,56.35,82,0,8.19,NA,2021-05-26 01:49:40
175,Inuvik,68.3499,-133.7218,41.76,74,90,8.05,CA,2021-05-26 01:49:40
176,Berlevag,70.8578,29.0864,36.59,73,77,8.23,NO,2021-05-26 01:49:40
177,Nishihara,26.1842,127.7558,85.68,79,20,8.16,JP,2021-05-26 01:49:41
178,Lapy,52.9911,22.8842,50.49,98,100,7.23,PL,2021-05-26 01:49:41
179,Sitka,57.0531,-135.33,49.89,76,90,10.36,US,2021-05-26 01:49:41
180,Berberati,4.2612,15.7922,70.79,85,100,0.43,CF,2021-05-26 01:49:42
181,Hermanus,-34.4187,19.2345,48.79,69,100,5.7,ZA,2021-05-26 01:49:42
182,Upernavik,72.7868,-56.1549,31.57,88,63,14.03,GL,2021-05-26 01:49:43
183,Haines Junction,60.7522,-137.5108,55.35,44,100,3.44,CA,2021-05-26 01:49:43
184,Tiksi,71.6872,128.8694,35.91,88,8,2.82,RU,2021-05-26 01:49:43
185,Oktyabrskiy,54.4815,53.471,52.93,87,52,7.85,RU,2021-05-26 01:49:44
186,Oranjemund,-28.55,16.4333,57.22,98,31,8.86,NA,2021-05-26 01:49:44
187,Baie-Comeau,49.2168,-68.1489,62.6,94,75,1.83,CA,2021-05-26 01:49:44
188,Metro,-5.1131,105.3067,84.29,73,29,5.32,ID,2021-05-26 01:49:44
189,San Patricio,28.017,-97.5169,81.01,85,0,15.23,US,2021-05-26 01:49:45
190,Ampanihy,-24.7,44.75,61.99,69,6,2.04,MG,2021-05-26 01:49:45
191,Maniitsoq,65.4167,-52.9,31.68,73,12,14.9,GL,2021-05-26 01:49:45
192,Karatau,43.1667,70.4667,75.52,41,29,4.74,KZ,2021-05-26 01:49:46
193,Srednekolymsk,67.45,153.6833,57.65,41,73,22.53,RU,2021-05-26 01:49:31
194,Abu Samrah,35.3029,37.1841,68.54,43,0,5.93,SY,2021-05-26 01:49:46
195,Praia,14.9215,-23.5087,72.14,78,0,12.66,CV,2021-05-26 01:48:46
